Item,Scientific Name
African pear,Manilkara obovata
Almond-leaved pear,Pyrus spinosa
Altai apple,Malus sieversii
Amelanchier parviflora,Amelanchier parviflora
Apple,Malus domestica
Apricot-leaved pear,Pyrus armeniacifolia
Asian pear,Pyrus pyrifolia
Balatá,Manilkara bidentata
Birchleaf pear,Pyrus betulifolia
Bronze loquat,Eriobotrya deflexa
Callery pear,Pyrus calleryana
Calva crabapple,Malus kansuensis
Canadian serviceberry,Amelanchier canadensis
Caqui,Manilkara kauki
Cerrado pear,Eugenia klotzschiana
Chicle,Manilkara chicle
Chinese crab apple,Malus hupehensis
Chinese flowering apple,Malus spectabilis
Chinese pearleaf crabapple,Malus asiatica
Chinese quince,Pseudocydonia sinensis
Chinese serviceberry,Amelanchier sinica
Chinese white pear,Pyrus × bretschneideri
Chokeberry,Aronia melanocarpa
Coastal serviceberry,Amelanchier obovalis
Cocky apple,Planchonia careya
Cow tree fruit,Manilkara elata
Downy serviceberry,Amelanchier arborea
Dusky pear,Pyrus phaeocarpa
Eastern crabapple,Malus orientalis
Eastern mayhaw,Crataegus aestivalis
European crab apple,Malus sylvestris
European wild pear,Pyrus pyraster
Florentine crabapple,Malus florentina
Greene's mountain-ash fruit,Sorbus scopulina
Hall crabapple,Malus halliana
Hawthorn,Crataegus rhipidophylla
Indian wild pear,Pyrus pashia
Intermediate serviceberry,Amelanchier intermedia
Jagua,Genipa americana
Japanese crab,Malus floribunda
Juneberry,Amelanchier lamarckii
Kaido crab apple,Malus × kaido
Kazak pear,Pyrus korshinskyi
Khirni,Manilkara hexandra
Korean juneberry,Amelanchier asiatica
Lebanese wild apple,Malus trilobata
Loquat,Eriobotrya japonica
Lovi-lovi,Flacourtia inermis
Low juneberry,Amelanchier spicata
Low serviceberry,Amelanchier humilis
Manchurian crab apple,Malus mandshurica
Massaranduba,Manilkara bella
Medlar,Mespilus germanica
Mountain serviceberry,Amelanchier bartramiana
Nantucket serviceberry,Amelanchier nantucketensis
Niedzwetzky's apple,Malus niedzwetzkyana
Nokaidō,Malus spontanea
Oleaster-leafed pear,Pyrus elaeagrifolia
Pacific crabapple,Malus fusca
Pale serviceberry,Amelanchier pallida
Pear,Pyrus communis
Pillar apple,Malus tschonoskii
Plumleaf crab apple,Malus prunifolia
Plymouth pear,Pyrus cordata
Prairie crabapple,Malus ioensis
Pratt's crabapple,Malus prattii
Pyrus glabra,Pyrus glabra
Quince,Cydonia oblonga
Ramontchi,Flacourtia indica
Red-checked crab apple,Malus toringoides
Regel pear,Pyrus regelii
Roundleaf serviceberry,Amelanchier sanguinea
Rowan,Sorbus aucuparia
Sapodilla,Manilkara zapota
Sargent crabapple,Malus sargentii
Saskatoon,Amelanchier alnifolia
Scarlet firethorn,Pyracantha coccinea
Shipova,× Pyraria irregularis
Shrub apple,Malus brevipes
Siberian crab apple,Malus baccata
Sikkim crabapple,Malus sikkimensis
Small-fruited crab apple,Malus transitoria
Smooth serviceberry,Amelanchier laevis
Snow pear,Pyrus nivalis
Snowy mespilus,Amelanchier ovalis
Sorb,Sorbus domestica
Southern crabapple,Malus angustifolia
Sweet crabapple,Malus coronaria
Syrian pear,Pyrus syriaca
Taiwan crabapple,Malus doumeri
Taiwanese rowan,Sorbus randaiensis
Toringo crabapple,Malus toringo
Toyon,Heteromeles arbutifolia
Ussurian pear,Pyrus ussuriensis
Utah serviceberry,Amelanchier utahensis
Vilmorin's rowan,Sorbus vilmorinii
Whitebeam fruit,Sorbus aria
Wiegand's serviceberry,Amelanchier interior
Wild dilly,Manilkara jaimiqui
Wild service tree fruit,Sorbus torminalis
Wood pear,Pyrus xerophila
Yunnan crabapple,Malus yunnanensis
Zumi crabapple,Malus × zumi
Açaí,Euterpe oleracea
Acerola,Malpighia emarginata
Afghan cherry,Prunus jacquemontii
African mango,Irvingia gabonensis
African mangosteen,Garcinia livingstonei
African oil palm fruit,Elaeis guineensis
Aguasiqui,Prunus gentryi
Alaskan bunchberry,Cornus × unalaschkensis
Allegheny plum,Prunus alleghaniensis
Almond,Prunus amygdalus
Amazon grape,Pourouma cecropiifolia
Ambarella,Spondias dulcis
American oil palm fruit,Elaeis oleifera
American plum,Prunus americana
Apricot,Prunus armeniaca
Apricot plum,Prunus simonii
Arabian wild almond,Prunus arabica
Arnott's mountain black plum,Syzygium densiflorum
Atoto,Syzygium thompsonii
Avocado,Persea americana
Bambangan,Mangifera pajang
Beach butia,Butia catarinensis
Beach plum,Prunus maritima
Bear's plum,Prunus ursina
Beccari,Butia capitata
Ber,Ziziphus nummularia
Bignay,Antidesma bunius
Binjai,Mangifera caesia
Bird cherry,Prunus padus
Black cherry,Prunus serotina
Black plum,Prunus nigra
Blue guarri,Euclea crispa
Blue lilly pilly,Syzygium oleosum
Bokhara plum,Prunus bokhariensis
Bolivian mountain coconut,Parajubaea torallyi
Briançon apricot,Prunus brigantina
Broad-leaved lilly pilly fruit,Syzygium hemilamprum
Broom jelly palm fruit,Butia pubispatha
Brush cherry,Syzygium australe
Buffalo-thorn,Ziziphus mucronata
Burdekin plum,Pleiogynium timoriense
Bush butter fruit,Dacryodes edulis
Butia arenicola,Butia arenicola
Butia campicola,Butia campicola
Butia matogrossensis,Butia matogrossensis
Cabeçudo,Butia purpurascens
Calligonum junceum,Calligonum junceum
Canadian bunchberry,Cornus canadensis
Casimiroa,Casimiroa edulis
Cedar Bay cherry,Eugenia reinwardtiana
Changunga,Byrsonima crassifolia
Cherry elaeagnus,Elaeagnus multiflora
Cherry laurel,Prunus laurocerasus
Cherry of the Rio Grande,Eugenia involucrata
Cherry plum,Prunus cerasifera
Chickasaw plum,Prunus angustifolia
Chinese bush cherry,Prunus glandulosa
Chinese date,Ziziphus mauritiana
Chinese plum,Prunus salicina
Chinese sour cherry,Prunus pseudocerasus
Choke cherry,Prunus virginiana
Chupón,Pouteria amygdalicarpa
Clove cherry,Prunus apetala
Coarse dodder-laurel fruit,Cassytha melantha
Coconut,Cocos nucifera
Cocoplum,Chrysobalanus icaco
Coffeeberry,Frangula californica
Cone cherry,Prunus conadenia
Coolamon,Syzygium moorei
Cornelian cherry,Cornus mas
Corozo palm fruit,Bactris guineensis
Country-almond,Terminalia catappa
Creek plum,Prunus rivularis
Crowberry,Empetrum nigrum
Curry berry,Murraya koenigii
Cyclamin cherry,Prunus cyclamina
Damson,Prunus domestica subsp. insititia
Darvaz plum,Prunus darvasica
Date,Phoenix dactylifera
David's peach,Prunus davidiana
Dawyck cherry,Prunus × dawyckensis
Desert almond,Prunus fasciculata
Desert apricot,Prunus fremontii
Desert peach,Prunus andersonii
Desert quandong,Santalum acuminatum
Dhung,Syzygium caryophyllatum
Dog cherry,Prunus buergeriana
Dwarf butia,Butia lallemantii
Dwarf jelly palm fruit,Butia archeri
Dwarf Russian almond,Prunus tenella
Dwarf yatay palm fruit,Butia paraguayensis
Emblic,Phyllanthus emblica
Emu apple,Owenia acidula
Engkala,Litsea garciae
European dwarf cherry,Prunus fruticosa
European plum,Prunus domestica
Fenzl's almond,Prunus fenzliana
Fergana peach,Prunus ferganensis
Fibrous satinash fruit,Syzygium fibrosum
Flatwoods plum,Prunus umbellata
Flowering almond,Prunus triloba
Fuji cherry,Prunus incisa
Gandaria,Bouea macrophylla
Gansu peach,Prunus kansuensis
Gomortega,Gomortega keule
Gowok,Syzygium polycephalum
Gray-leaf cherry,Prunus canescens
Greengage,Prunus domestica subsp. italica
Green plum,Buchanania obovata
Grey satinash fruit,Syzygium claviflorum
Guavaberry,Myrciaria floribunda
Guarana,Paullinia cupana
Gubinge,Terminalia ferdinandiana
Guinea sour pod,Dialium guineense
Hackberry,Celtis occidentalis
Hairless rambutan,Nephelium xerospermoides
High-eaves syzygium,Syzygium oblatum
Himalayan bird cherry,Prunus cornuta
Hokkaido bird cherry,Prunus ssiori
Hollyleaf cherry,Prunus ilicifolia
Hortulan plum,Prunus hortulana
Italian plum,Prunus cocomilia
Jackal jujube,Ziziphus oenopolia
Jambolan,Syzygium cumini
Japanese alpine cherry,Prunus nipponica
Japanese apricot,Prunus mume
Japanese bird cherry,Prunus grayana
Japanese bush cherry,Prunus japonica
Japanese cherry,Prunus serrulata
Japanese silverberry,Elaeagnus umbellata
Jelly palm fruit,Butia odortata
Jocote,Spondias purpurea
Johnstone River satinash fruit,Syzygium erythrocalyx
Jujube,Ziziphus jujuba
Kaong,Arenga pinnata
Kelsey plum,Prunus salicina spp.
King coconut,Cocos nucifera var. aurantiaca
Lipote,Syzygium curranii
Lipote,Syzygium polycephaloides
Korlan,Nephelium hypoleucum
Lala palm,Hyphaene coriacea
Lemonadeberry,Rhus integrifolia
Lemon aspen fruit,Acronychia acidula
Lilly pilly,Syzygium smithii
Little gooseberry,Buchanania arborescens
Lockerbie satinash fruit,Syzygium branderhorstii
Longan,Dimocarpus longan
Long-flowered syzygium,Syzygium cerasiforme
Long-peduncled almond,Prunus pedunculata
Lychee,Litchi chinensis
Magenta lilly pilly,Syzygium paniculatum
Malay rose apple,Syzygium malaccense
Mamey sapote,Pouteria sapota
Manchurian apricot,Prunus mandshurica
Manchurian cherry,Prunus maackii
Mango,Mangifera indica
Mardarrgu,Ziziphus quadrilocularis
Marula,Sclerocarya birrea
Mexican plum,Prunus mexicana
Millaa millaa,Elaeagnus triflora
Miracle fruit,Synsepalum dulcificum
Mistol,Ziziphus mistol
Miyama cherry,Prunus maximowiczii
Moriche palm fruit,Mauritia flexuosa
Muntrie,Kunzea pomifera
Murray's plum,Prunus murrayana
Nance,Byrsonima crassifolia
Nanjing cherry,Prunus tomentosa
Nannyberry,Viburnum lentago
Nectarine,Prunus persica var. nucipersica
Neem,Azadirachta indica
Nepali hog plum,Choerospondias axillaris
Nipa palm fruit,Nypa fruticans
Nutmeg fruit,Myristica fragrans
Oklahoma plum,Prunus gracilis
Olosapo,Couepia polyandra
Oshima cherry,Prunus speciosa
Otaheite gooseberry,Phyllanthus acidus
Pacific plum,Prunus subcordata
Paho mango,Mangifera altissima
Paperbark satinash fruit,Syzygium papyraceum
Partridgeberry,Mitchella repens
Peach,Prunus persica
Peach palm fruit,Bactris gasipaes
Peanut butter fruit,Bunchosia glandulifera
Pequi,Caryocar brasiliense
Phalsa,Grewia asiatica
Pigeon plum,Coccoloba diversifolia
Pili,Canarium ovatum
Pin cherry,Prunus pensylvanica
Pink satinash fruit,Syzygium sayeri
Pitanga,Eugenia uniflora
Pitomba,Talisia esculenta
Prunus alaica,Prunus alaica
Prunus bifrons,Prunus bifrons
Prunus cortapico,Prunus cortapico
Pulasan,Nephelium ramboutan-ake
Queen palm fruit,Syagrus romanzoffiana
Rambutan,Nephelium lappaceum
Red bush apple,Syzygium suborbiculare
Rex satinash fruit,Syzygium apodophyllum
Riberry,Syzygium luehmannii
River cherry,Syzygium tierneyanum
Russian olive,Elaeagnus angustifolia
