Item,Alt Name,Alt Name,Scientific Name
sorghum,,,S. bicolor
maize, corn, corn kernel,Z. mays
finger millet,,,E. coracana
teff,,,E. tef
Asian rice,,,O. sativa
African rice,,,O. glaberrima
wild rice,,,
black fonio,,,D. iburua
white fonio,,,D. exilis
proso millet,,,P. miliaceum
little millet,,,P. sumatrense
pearl millet,,,P. glaucum
foxtail millet,,,S. italica
oat, oat groat,,A. sativa
barley, barley groat,,H. vulgare
rye, rye berry,,S. cereale
triticale,,,
wheat, wheat berry,,T. aestivum
durum, durum wheat,,T. durum
einkorn,,,T. monococcum
spelt, spelt wheat,,T. spelta
kamut,,,T. turanicum
emmer,,,T. turgidum
Kernza,,,T. intermedium
amaranth, amaranth grain,,
pitseed goosefoot,,,C. berlandieri
kañiwa,,,C. pallidicaule
quinoa,,,C. quinoa
hanza,,,B. senegalensis
chia, chia seed,,S. hispanica
flax, flaxseed, linseed,L. usitatissimum
breadnut,,,B. alicastrum
sesame, sesame seed,,S. indicum
buckwheat, buckwheat groat,,F. esculentum
,,,
peanut (groundnut),,,A. hypogaea
chickpea, garbanzo bean, gram,C. arietinum
pea[n 3],,,P. sativum
Indian beechnut,,,P. pinnata
pigeon pea,,,C. cajan
soybean,,,G. max
runner bean,,,P. coccineus
lima bean,,,P. lunatus
common bean[n 4],,,P. vulgaris
moth bean,,,V.aconitifolia
adzuki bean,,,V. angularis
black gram,,,V. mungo
mung bean, green gram,,V. radiata
Bambara groundnut,,,V. subterranea
cowpea,,,V. unguiculata
lentil,,,L. culinaris
fava bean, broad bean,,V. faba
Cempedak,,,
Cocoa bean,,,
Coffee bean,,,
Cumin seed,,,
Durian,,,
Fox nut,,,
Hemp seed,,,
Jackfruit,,,
Lotus seed,,,
Mustard seed,,,
Osage orange seed,,,
Papaya seed,,,
Poppy seed,,,
Pomegranate seed,,,
Sunflower seed,,,
Pumpkin seed,,,
Watermelon seed,,,
Passion fruit seed,,,
