Item, Scientific Name
Arrowhead elephant ear,Xanthosoma sagittifolium,
Asiatic pennywort,Centella asiatica,
Arugula,Eruca sativa,
Atibulnak,Rubus pectinellus,
Beet greens,Beta vulgaris vulgaris,
Binung,Christella dentata,
Carrot greens,Daucus carota,
Bok choy (白菜),Brassica rapa (chinensis),
Borage greens,Borago officinalis,
Broccoli (leaves / stalks),Brassica oleracea,
Brooklime,Veronica beccabunga,
Brussels sprouts,Brassica oleracea (gemmifera),
Cabbage,Brassica oleracea (capitata),
Caraway leaves,Carum carvi,
Catsear,Hypochaeris radicata,
Celery,Apium graveolens,
Celtuce,Lactuca sativa (asparagina),
Chaya,Cnidoscolus aconitifolius aconitifolius,
Chili pepper leaves,Capsicum spp.,
Chickweed,Stellaria,
Chicory,Cichorium intybus,
Chinese mallow,Malva verticillata,
Collard greens,Brassica oleracea,
Common purslane,Portulaca oleracea,
Corn salad,Valerianella locusta,
Cress,Lepidium sativum,
Cucumis prophetarum,Cucumis prophetarum,
Garland Chrysanthemum,Chrysanthemum coronarium,
Ground elder,Aegopodium podagraria,
Dandelion,Taraxacum officinale,
Dill,Anethum graveolens,
Endive,Cichorium endivia,
Fat hen,Chenopodium album,
Fiddlehead,"Pteridium aquilinum, Athyrium esculentum",
Fluted pumpkin,Telfairia occidentalis,
Gnetum / Melinjo,Gnetum gnemon,
Golden samphire,Inula crithmoides,
Good King Henry,Chenopodium bonus-henricus,
Grape (leaves),Vitis,
Greater plantain,Plantago major,
Jute mallow / Melokhia,"Corchorus olitorius, Corchorus capsularis",
Kai-lan (芥蘭 Gai lan),Brassica rapa (alboglabra),
Kale,Brassica oleracea (acephala),
Kalette,Brassica oleracea,
Kerguelen cabbage,Pringlea antiscorbutica,
Komatsuna,Brassica rapa (pervidis / komatsuna),
Kuka,Adansonia,
Lagos bologi,Talinum fruticosum,
Lamb's lettuce,Valerianella locusta,
Lamb's quarters,Chenopodium album,
Land cress,Barbarea verna,
Leaf celery,Apium graveolens var. secalinum,
Lettuce,Lactuca sativa,
Lizard's tail,Houttuynia cordata,
Malabar spinach,Basella alba,
Mallow,Malvaceae,
Moringa leaves,Moringa oleifera,
Miner's lettuce (Winter purslane),Claytonia perfoliata,
Mizuna greens,Brassica rapa (nipposinica),
Mustard,Sinapis alba,
Napa cabbage,Brassica rapa (pekinensis),
New Zealand Spinach,Tetragonia tetragonioides,
Orache,Atriplex hortensis,
Papaya leaves,Carica papaya,
Paracress,Acmella oleracea,
Pea (sprouts / leaves),Lathyrus oleraceus,
Pitogo,Cycas riuminiana,
Poke,Phytolacca americana,
Purple bauhinia / Butterfly tree,Bauhinia purpurea,
Radicchio,Cichorium intybus,
Rapini (broccoli rabe),Brassica rapa rapa,
Red spinach,Amaranthus dubius,
Royal fern,Osmunda regalis,
Samphire,Crithmum maritimum,
Sculpit / Stridolo,Silene inflata,
Sea beet,Beta vulgaris maritima,
Sea kale,Crambe maritima,
Shepherd's purse,Capsella bursa-pastoris,
Sierra Leone bologi,Crassocephalum biafrae,
Soko,Celosia argentea,
Sorrel,Rumex acetosa,
Sour cabbage,Brassica oleracea,
Spinach,Spinacia oleracea,
Spiny amaranth,Amaranthus spinosus,
Summer purslane,Portulaca oleracea,
Sunset muskmallow,Abelmoschus manihot,
Sweet potato leaves,Ipomoea batatas,
Swiss chard,Beta vulgaris cicla (flavescens),
Tahitian spinach,Xanthosoma brasiliense,
Taro leaves,Colocasia esculenta,
Tatsoi,Brassica rapa (rosularis),
Turnip greens,Brassica rapa (rapifera),
Vegetable fern,Diplazium esculentum,
Vegetable hummingbird,Sesbania grandiflora,
Viagra palm,Calamus erectus,
Watercress,Nasturtium officinale,
Water spinach,Ipomoea aquatica,
Wheatgrass,Triticum aestivum,
Yarrow,Achillea millefolium,
Yao choy (油菜 Yu choy),Brassica napus,
Armenian cucumber,Cucumis melo var. flexuosus,
Butternut squash,Cucurbita moschata,
Bitter melon / Bitter gourd,Momordica charantia,
Caigua / Achocha,Cyclanthera pedata,
Calabash / Bottle gourd,Lagenaria siceraria,
Calabaza / West Indian pumpkin,Cucurbita moschata,
Chayote,Sechium edule,
Corn/Maize,Zea mays,
Gac,Momordica cochinchinensis,
Galo,Anacolosa frutescens,
Cucamelon / Mouse melon,Melothria scabra,
Cucumber,Cucumis sativus,
Eggplant / Aubergine / Brinjal,Solanum melongena,
Ivy gourd,Coccinia grandis,
Kabocha,Cucurbita maxima,
Kiwano / Horned melon,Cucumis metuliferus,
Kapas-kapas,Telosma procumbens,
Luffa,Luffa cylindrica,
Pumpkin,Cucurbita,
Pointed gourd,Trichosanthes dioica,
Ridged gourd,Luffa acutangula,
Snake gourd,Trichosanthes cucumerina,
Spine gourd / Kantola,Momordica dioica,
Squash,Cucurbita,
Tinda,Praecitrullus fistulosus,
Tipuho,Artocarpus treculianus,
Tomatillo,Physalis philadelphica,
Tomato,Solanum lycopersicum,
West Indian gherkin,Cucumis anguria,
Water melon,Citrullus lanatus,
Winter melon,Benincasa hispida,
Zucchini / Courgette / Marrow,Cucurbita pepo,
Bell pepper,Capsicum annuum 'Bell',
Big Jim pepper,Capsicum annuum New Mexico Group,
Cayenne pepper,Capsicum annuum 'Cayenne',
Friggitello,Capsicum annuum 'Friggitello',
Habanero,Capsicum chinense 'Habanero',
Hungarian wax pepper,Capsicum annuum 'Hungarian',
Jalapeño,Capsicum annuum 'Jalapeño',
New Mexico chile,Capsicum annuum New Mexico Group,
Peperoncino,Capsicum annuum and Capsicum frutescens,
Pimiento,Capsicum annuum 'Pimiento',
Sandia pepper,Capsicum annuum New Mexico Group,
Siling haba,Capsicum annuum 'Siling haba',
Artichoke,Cynara cardunculus / scolymus,
Banana flower,"Musa × paradisiaca, Musa acuminata,",
Blue pea / Asian pigeonwings,Clitoria ternatea,
Broccoli,Brassica oleracea,
Broccolini flowers,Brassica oleracea,
Calabaza flower,Cucurbita moschata,
Caper,Capparis spinosa,
Cauliflower,Brassica oleracea,
Himbabao[1],Broussonetia luzonica,
Pumpkin flower,Cucurbita,
Daylily[2],Hemerocallis fulva,
Jade vine / Tayabak,Srtongylodon macrobotrys,
Loroco,Echites panduratus,
Moringa,Moringa oleifera,
Waterblommetjie,Aponogeton distachyos,
Courgette flowers,Cucurbita,
Squash blossoms,Cucurbita,
American groundnut,Apios americana,
Asparagus bean,Vigna unguiculata (sesquipedalis),
Azuki bean,Vigna angularis,
Black-eyed pea,Vigna unguiculata unguiculata,
Chickpea / Garbanzo,Cicer arietinum,
Common bean,Phaseolus vulgaris,
Drumstick,Moringa oleifera,
Dolichos bean,Lablab purpureus,
Fava bean,Vicia faba,
Green bean (French bean),Phaseolus vulgaris,
Guar,Cyamopsis tetragonoloba,
Horse gram,Macrotyloma uniflorum,
Hyacinth bean,Lablab purpureus,
Indian pea,Lathyrus sativus,
Lentil,Lens culinaris,
Lima bean,Phaseolus lunatus,
Moth bean,Vigna acontifolia,
Mung bean,Vigna radiata,
Okra,Abelmoschus esculentus,
Pea,Pisum sativum,
Peanut,Arachis hypogaea,
Pigeon pea,Cajanus cajan,
Ricebean,Vigna umbellata,
Runner bean,Phaseolus coccineus,
"Snap pea (sugarsnap, mangetout)",Pisum sativum (macrocarpon),
Snow pea (mangetout),Pisum sativum (saccharatum),
Soybean,Glycine max,
Tarwi (Tarhui / Chocho),Lupinus mutabilis,
Tepary bean,Phaseolus acutifolius,
Urad bean,Vigna mungo,
Velvet bean,Mucuna pruriens,
Winged bean,Psophocarpus tetragonolobus,
Cardoon,Cynara cardunculus,
Celeriac,Apium graveolens (rapaceum),
Chives,Allium schoenoprasum,
Elephant garlic,Allium ampeloprasum (ampeloprasum),
Florence fennel,Foeniculum vulgare (dulce),
Garlic,Allium sativum,
Garlic chives,Allium tuberosum,
Heart of palm,"Cocos nucifera, Euterpe spp., Sabal spp.,",
Kohlrabi,Brassica oleracea (gongylodes),
Kurrat,Allium ampeloprasum (kurrat),
Landang,Corypha spp.,
Lemongrass,Cymbopogon citratus,
Leek,Allium porrum,
Lotus root,Nelumbo nucifera,
Nopal,Opuntia ficus-indica,
Onion,Allium cepa,
Pearl onion,Allium ampeloprasum (sectivum),
Potato onion,Allium cepa (aggregatum),
Prussian asparagus,Ornithogalum pyrenaicum,
Sago,"Metroxylon sagu, Cycas revoluta",
Spring onion / Scallion,Allium wakegi,
Sea beans / samphire greens,Salicornia spp.,
Shallot,Allium cepa (aggregatum),
Tree onion[3],Allium × proliferum,
Welsh onion,Allium fistulosum,
Wild leek,Allium tricoccum,
Manchurian wild rice,Zizania latifolia,
Ahipa,Pachyrhizus ahipa,
Arracacha,Arracacia xanthorrhiza,
Arrowleaf elephant ear,Xanthosoma sagittifolium,
Bamboo shoot,"Bambusa vulgaris, Phyllostachys edulis",
Beetroot,Beta vulgaris vulgaris,
Burdock,Arctium lappa,
Broadleaf arrowhead,Sagittaria latifolia,
Camas,Camassia,
Canna,Canna,
Carrot,Daucus carota,
Cassumunar ginger,Zingiber cassumunar,
Cassava,Manihot esculenta,
Chinese artichoke,Stachys affinis,
Chinese ginger,Boesenbergia rotunda,
Daikon,Raphanus sativus (longipinnatus),
Earthnut pea,Lathyrus tuberosus,
Elephant foot yam,Amorphophallus paeoniifolius,
Ensete,Ensete ventricosum,
Giant swamp taro,Cyrtosperma merkusii,
Giant taro,Alocasia macrorrhizos,
Ginger,Zingiber officinale,
Hamburg parsley,Petroselinum crispum tuberosum,
Horseradish,Armoracia rusticana,
Jerusalem artichoke,Helianthus tuberosus,
Jícama,Pachyrhizus erosus,
Kencur,Kaempferia galanga,
Lengkuas (Greater galangal),Alpinia galanga,
Lesser galangal,Alpinia officinarum,
Mashua,Tropaeolum tuberosum,
Palmyra sprout,Borassus flabellifer,
Parsnip,Pastinaca sativa,
Pignut,Conopodium majus,
Polynesian arrowroot / East Indian arrowroot,Tacca leontopetaloides,
Potato,Solanum tuberosum,
Prairie turnip,Pediomelum esculentum,
Radish,Raphanus sativus,
Rutabaga (Swede),Brassica napus (napobrassica),
Salsify,Tragopogon porrifolius,
Scorzonera,Scorzonera hispanica,
Skirret,Sium sisarum,
Sweet potato (Kumara),Ipomoea batatas,
Taro,Colocasia esculenta,
Ti,Cordyline fruticosa,
Tigernut,Cyperus esculentus,
Turmeric,Curcuma longa,
Turnip,Brassica rapa (rapifera),
Ube (Purple yam),Dioscorea alata,
Ulluco,Ullucus tuberosus,
Wasabi,Wasabia japonica,
Water caltrop,"Trapa natans, Trapa bicornis",
Water chestnut,Eleocharis dulcis,
Yacón,Smallanthus sonchifolius,
Yam,Dioscorea [4],
Yautia horqueta,Xanthosoma caracu,
Aonori,"Monostroma, Enteromorpha",
Arame,Eisenia bicyclis,
Carola,Callophyllis variegata,
Dabberlocks (Badderlocks),Alaria esculenta,
Dulse (Dillisk),Palmaria palmata,
Eelgrass,Zostera,
Green laver / Gim,"Monostroma, Porphyra, Ulva",
Gusô,Eucheuma spp.,
Hijiki,Hizikia fusiformis,
Kombu,Laminaria japonica,
(Red) laver,Porphyra,
Mozuku,Cladosiphon okamuranus,
Nori,"Porphyra, Pyropia",
Ogonori,Gracilaria,
Sea grape,"Caulerpa lentillifera, Caulerpa racemosa",
Sea lettuce,Ulva lactuca,
Wakame,Undaria pinnatifida,
Sunset Hibiscus,Abelmoschus manihot,
China Jute,Abutilon theophrasti,
Climbing wattle,Acacia pennata,
"Dootsi, Ghehi",Agasyllis latifolia,
Common Marshmallow,Althaea officinalis,
Purple amaranth,Amaranthus cruentus,
Common amaranth,Amaranthus retroflexus,
Prickly amaranth,Amaranthus spinosus,
Amaranth,Amaranthus tricolor,
Slender amaranth,Amaranthus viridis,
Garden orache,Atriplex hortensis,
Bank cress,Barbarea verna,
"Chik-nam, Kra don",Barringtonia acutangula,
Indian spinach,Basella alba,
Chard,Beta cicla,
"Beet, Beetroot",Beta vulgaris,
Common Borage,Borago officinalis,
Abyssinian Cabbage,Brassica carinata,
Indian mustard,Brassica juncea,
Rutabaga,Brassica napus,
Rape Kale,Brassica napus var. pabularia,
Black Mustard,Brassica nigra,
Wild Cabbage,Brassica oleracea,
Kale,Brassica oleracea var. acephala,
